"","orig.ident","nCount_RNA","nFeature_RNA","STIM","SAMP","PND"
"2#75#72_5","SeuratProject",838,26,"il1","AR010","P3"
"2#79#41_5","SeuratProject",329,23,"il1","AR010","P3"
"2#79#78_5","SeuratProject",444,28,"il1","AR010","P3"
"2#9#87_5","SeuratProject",296,24,"il1","AR010","P3"
"2#95#34_5","SeuratProject",286,21,"il1","AR010","P3"
"20#1#5_5","SeuratProject",326,23,"il1","AR010","P3"
"20#14#8_5","SeuratProject",144,18,"il1","AR010","P3"
"20#14#84_5","SeuratProject",198,26,"il1","AR010","P3"
"20#19#60_5","SeuratProject",133,10,"il1","AR010","P3"
"20#27#84_5","SeuratProject",293,17,"il1","AR010","P3"
"20#29#30_5","SeuratProject",435,27,"il1","AR010","P3"
"20#33#5_5","SeuratProject",432,30,"il1","AR010","P3"
"20#35#47_5","SeuratProject",349,22,"il1","AR010","P3"
"20#38#56_5","SeuratProject",117,15,"il1","AR010","P3"
"20#4#38_5","SeuratProject",174,26,"il1","AR010","P3"
"20#47#23_5","SeuratProject",85,19,"il1","AR010","P3"
"20#47#49_5","SeuratProject",294,19,"il1","AR010","P3"
"20#53#50_5","SeuratProject",192,20,"il1","AR010","P3"
"20#54#31_5","SeuratProject",139,19,"il1","AR010","P3"
"20#59#96_5","SeuratProject",645,26,"il1","AR010","P3"
"20#70#52_5","SeuratProject",278,24,"il1","AR010","P3"
"20#71#71_5","SeuratProject",1521,30,"il1","AR010","P3"
"20#74#11_5","SeuratProject",145,19,"il1","AR010","P3"
"20#93#74_5","SeuratProject",339,25,"il1","AR010","P3"
"20#94#66_5","SeuratProject",783,29,"il1","AR010","P3"
"20#95#9_5","SeuratProject",208,21,"il1","AR010","P3"
"21#10#55_5","SeuratProject",433,32,"il1","AR010","P3"
"21#13#5_5","SeuratProject",222,24,"il1","AR010","P3"
"21#19#2_5","SeuratProject",200,25,"il1","AR010","P3"
"21#25#11_5","SeuratProject",231,28,"il1","AR010","P3"
"21#27#68_5","SeuratProject",142,16,"il1","AR010","P3"
"21#28#61_5","SeuratProject",1312,32,"il1","AR010","P3"
"21#28#62_5","SeuratProject",182,21,"il1","AR010","P3"
"21#29#95_5","SeuratProject",223,20,"il1","AR010","P3"
"21#30#25_5","SeuratProject",431,23,"il1","AR010","P3"
"21#32#80_5","SeuratProject",1341,34,"il1","AR010","P3"
"21#36#94_5","SeuratProject",1021,33,"il1","AR010","P3"
"21#43#16_5","SeuratProject",173,17,"il1","AR010","P3"
"21#44#31_5","SeuratProject",490,26,"il1","AR010","P3"
"21#49#44_5","SeuratProject",310,16,"il1","AR010","P3"
"21#61#22_5","SeuratProject",272,29,"il1","AR010","P3"
"21#67#4_5","SeuratProject",917,32,"il1","AR010","P3"
"21#67#82_5","SeuratProject",749,31,"il1","AR010","P3"
"21#7#16_5","SeuratProject",330,22,"il1","AR010","P3"
"21#79#10_5","SeuratProject",362,28,"il1","AR010","P3"
"21#82#8_5","SeuratProject",309,25,"il1","AR010","P3"
"21#83#39_5","SeuratProject",362,22,"il1","AR010","P3"
"21#86#24_5","SeuratProject",294,25,"il1","AR010","P3"
"21#92#81_5","SeuratProject",216,23,"il1","AR010","P3"
"21#96#8_5","SeuratProject",434,25,"il1","AR010","P3"
"22#11#84_5","SeuratProject",138,21,"il1","AR010","P3"
"22#14#57_5","SeuratProject",126,20,"il1","AR010","P3"
"22#15#55_5","SeuratProject",443,32,"il1","AR010","P3"
"22#16#72_5","SeuratProject",923,32,"il1","AR010","P3"
"22#29#50_5","SeuratProject",159,25,"il1","AR010","P3"
"22#32#85_5","SeuratProject",1672,40,"il1","AR010","P3"
"22#37#49_5","SeuratProject",321,20,"il1","AR010","P3"
"22#38#4_5","SeuratProject",462,26,"il1","AR010","P3"
"22#46#80_5","SeuratProject",234,26,"il1","AR010","P3"
"22#62#29_5","SeuratProject",386,26,"il1","AR010","P3"
"22#67#20_5","SeuratProject",339,23,"il1","AR010","P3"
"22#7#13_5","SeuratProject",478,28,"il1","AR010","P3"
"22#75#20_5","SeuratProject",399,25,"il1","AR010","P3"
"22#77#57_5","SeuratProject",589,30,"il1","AR010","P3"
"22#78#20_5","SeuratProject",165,18,"il1","AR010","P3"
"22#8#35_5","SeuratProject",605,35,"il1","AR010","P3"
"22#83#96_5","SeuratProject",318,26,"il1","AR010","P3"
"22#87#29_5","SeuratProject",554,25,"il1","AR010","P3"
"22#88#56_5","SeuratProject",175,25,"il1","AR010","P3"
"23#1#21_5","SeuratProject",203,26,"il1","AR010","P3"
"23#1#4_5","SeuratProject",3814,34,"il1","AR010","P3"
"23#10#53_5","SeuratProject",498,30,"il1","AR010","P3"
"23#12#93_5","SeuratProject",338,27,"il1","AR010","P3"
"23#13#47_5","SeuratProject",384,23,"il1","AR010","P3"
"23#16#65_5","SeuratProject",456,23,"il1","AR010","P3"
"23#18#85_5","SeuratProject",298,15,"il1","AR010","P3"
"23#24#38_5","SeuratProject",283,25,"il1","AR010","P3"
"23#27#36_5","SeuratProject",426,29,"il1","AR010","P3"
"23#28#34_5","SeuratProject",134,20,"il1","AR010","P3"
"23#33#18_5","SeuratProject",1132,34,"il1","AR010","P3"
"23#40#17_5","SeuratProject",129,27,"il1","AR010","P3"
"23#42#45_5","SeuratProject",259,23,"il1","AR010","P3"
"23#5#45_5","SeuratProject",255,24,"il1","AR010","P3"
"23#56#14_5","SeuratProject",1470,34,"il1","AR010","P3"
"23#6#71_5","SeuratProject",643,31,"il1","AR010","P3"
"23#60#10_5","SeuratProject",132,20,"il1","AR010","P3"
"23#67#58_5","SeuratProject",567,27,"il1","AR010","P3"
"23#68#83_5","SeuratProject",173,18,"il1","AR010","P3"
"23#71#60_5","SeuratProject",267,21,"il1","AR010","P3"
"23#79#3_5","SeuratProject",375,30,"il1","AR010","P3"
"23#88#4_5","SeuratProject",577,31,"il1","AR010","P3"
"23#9#75_5","SeuratProject",400,23,"il1","AR010","P3"
"23#92#49_5","SeuratProject",101,20,"il1","AR010","P3"
"24#11#73_5","SeuratProject",1106,31,"il1","AR010","P3"
"24#13#81_5","SeuratProject",239,33,"il1","AR010","P3"
"24#16#20_5","SeuratProject",167,22,"il1","AR010","P3"
"24#17#65_5","SeuratProject",842,32,"il1","AR010","P3"
"24#23#79_5","SeuratProject",1503,35,"il1","AR010","P3"
"24#25#33_5","SeuratProject",636,32,"il1","AR010","P3"
"24#38#44_5","SeuratProject",641,32,"il1","AR010","P3"
"24#44#46_5","SeuratProject",192,23,"il1","AR010","P3"
"24#46#44_5","SeuratProject",449,27,"il1","AR010","P3"
"24#49#13_5","SeuratProject",1140,33,"il1","AR010","P3"
"24#49#80_5","SeuratProject",137,22,"il1","AR010","P3"
"24#55#49_5","SeuratProject",271,22,"il1","AR010","P3"
"24#57#21_5","SeuratProject",908,27,"il1","AR010","P3"
"24#63#2_5","SeuratProject",301,26,"il1","AR010","P3"
"24#72#78_5","SeuratProject",240,23,"il1","AR010","P3"
"24#79#39_5","SeuratProject",490,28,"il1","AR010","P3"
"24#82#3_5","SeuratProject",660,30,"il1","AR010","P3"
"24#93#1_5","SeuratProject",880,36,"il1","AR010","P3"
"25#2#52_5","SeuratProject",1273,33,"il1","AR010","P3"
"25#21#39_5","SeuratProject",1663,35,"il1","AR010","P3"
"25#23#23_5","SeuratProject",160,23,"il1","AR010","P3"
"25#33#58_5","SeuratProject",1097,33,"il1","AR010","P3"
"25#47#3_5","SeuratProject",267,24,"il1","AR010","P3"
"25#49#37_5","SeuratProject",541,34,"il1","AR010","P3"
"25#5#34_5","SeuratProject",149,23,"il1","AR010","P3"
"25#57#62_5","SeuratProject",841,27,"il1","AR010","P3"
"25#59#7_5","SeuratProject",868,26,"il1","AR010","P3"
"25#6#40_5","SeuratProject",259,23,"il1","AR010","P3"
"25#60#48_5","SeuratProject",205,25,"il1","AR010","P3"
"25#65#37_5","SeuratProject",372,28,"il1","AR010","P3"
"25#66#17_5","SeuratProject",1130,29,"il1","AR010","P3"
"25#70#7_5","SeuratProject",401,27,"il1","AR010","P3"
"25#80#34_5","SeuratProject",2047,34,"il1","AR010","P3"
"25#85#26_5","SeuratProject",110,14,"il1","AR010","P3"
"25#86#14_5","SeuratProject",2101,37,"il1","AR010","P3"
"25#87#35_5","SeuratProject",267,25,"il1","AR010","P3"
"25#89#1_5","SeuratProject",516,28,"il1","AR010","P3"
"25#91#20_5","SeuratProject",110,18,"il1","AR010","P3"
"25#95#20_5","SeuratProject",1073,28,"il1","AR010","P3"
"26#16#63_5","SeuratProject",184,25,"il1","AR010","P3"
"26#35#11_5","SeuratProject",249,27,"il1","AR010","P3"
"26#36#70_5","SeuratProject",175,21,"il1","AR010","P3"
"26#47#59_5","SeuratProject",435,22,"il1","AR010","P3"
"26#48#11_5","SeuratProject",282,26,"il1","AR010","P3"
"26#55#66_5","SeuratProject",3273,37,"il1","AR010","P3"
"26#57#20_5","SeuratProject",809,32,"il1","AR010","P3"
"26#57#25_5","SeuratProject",153,21,"il1","AR010","P3"
"26#60#23_5","SeuratProject",157,23,"il1","AR010","P3"
"26#75#58_5","SeuratProject",832,31,"il1","AR010","P3"
"26#88#69_5","SeuratProject",539,23,"il1","AR010","P3"
"27#11#52_5","SeuratProject",393,25,"il1","AR010","P3"
"27#21#7_5","SeuratProject",1486,32,"il1","AR010","P3"
"27#24#35_5","SeuratProject",353,30,"il1","AR010","P3"
"27#28#62_5","SeuratProject",728,30,"il1","AR010","P3"
"27#3#66_5","SeuratProject",135,24,"il1","AR010","P3"
"27#42#48_5","SeuratProject",1414,34,"il1","AR010","P3"
"27#45#25_5","SeuratProject",2386,36,"il1","AR010","P3"
"27#50#37_5","SeuratProject",131,17,"il1","AR010","P3"
"27#54#35_5","SeuratProject",297,26,"il1","AR010","P3"
"27#54#65_5","SeuratProject",611,31,"il1","AR010","P3"
"27#57#72_5","SeuratProject",263,27,"il1","AR010","P3"
"27#6#53_5","SeuratProject",529,24,"il1","AR010","P3"
"27#63#35_5","SeuratProject",489,27,"il1","AR010","P3"
"27#63#63_5","SeuratProject",104,21,"il1","AR010","P3"
"27#67#12_5","SeuratProject",458,32,"il1","AR010","P3"
"27#68#61_5","SeuratProject",223,24,"il1","AR010","P3"
"27#7#18_5","SeuratProject",324,22,"il1","AR010","P3"
"27#73#51_5","SeuratProject",376,22,"il1","AR010","P3"
"27#81#21_5","SeuratProject",242,25,"il1","AR010","P3"
"27#83#33_5","SeuratProject",487,33,"il1","AR010","P3"
"28#1#76_5","SeuratProject",555,25,"il1","AR010","P3"
"28#2#49_5","SeuratProject",896,29,"il1","AR010","P3"
"28#3#37_5","SeuratProject",386,24,"il1","AR010","P3"
"28#31#33_5","SeuratProject",1014,35,"il1","AR010","P3"
"28#33#31_5","SeuratProject",417,28,"il1","AR010","P3"
"28#43#70_5","SeuratProject",825,25,"il1","AR010","P3"
"28#48#68_5","SeuratProject",906,35,"il1","AR010","P3"
"28#6#20_5","SeuratProject",211,18,"il1","AR010","P3"
"28#68#44_5","SeuratProject",276,24,"il1","AR010","P3"
"28#7#15_5","SeuratProject",236,18,"il1","AR010","P3"
"28#7#82_5","SeuratProject",388,25,"il1","AR010","P3"
"28#71#59_5","SeuratProject",410,32,"il1","AR010","P3"
"28#91#42_5","SeuratProject",188,18,"il1","AR010","P3"
"28#93#43_5","SeuratProject",126,23,"il1","AR010","P3"
"29#11#13_5","SeuratProject",132,25,"il1","AR010","P3"
"29#11#39_5","SeuratProject",274,17,"il1","AR010","P3"
"29#13#58_5","SeuratProject",1884,34,"il1","AR010","P3"
"29#13#82_5","SeuratProject",955,34,"il1","AR010","P3"
"29#19#68_5","SeuratProject",1566,35,"il1","AR010","P3"
"29#19#73_5","SeuratProject",460,24,"il1","AR010","P3"
"29#26#46_5","SeuratProject",104,14,"il1","AR010","P3"
"29#34#2_5","SeuratProject",234,24,"il1","AR010","P3"
"29#38#28_5","SeuratProject",148,23,"il1","AR010","P3"
"29#39#87_5","SeuratProject",434,34,"il1","AR010","P3"
"29#52#27_5","SeuratProject",253,22,"il1","AR010","P3"
"29#53#62_5","SeuratProject",354,22,"il1","AR010","P3"
"29#59#42_5","SeuratProject",145,19,"il1","AR010","P3"
"29#61#7_5","SeuratProject",243,26,"il1","AR010","P3"
"29#64#82_5","SeuratProject",859,27,"il1","AR010","P3"
"29#66#13_5","SeuratProject",679,28,"il1","AR010","P3"
"29#68#25_5","SeuratProject",164,25,"il1","AR010","P3"
"29#70#5_5","SeuratProject",1356,31,"il1","AR010","P3"
"29#75#87_5","SeuratProject",276,28,"il1","AR010","P3"
"29#77#53_5","SeuratProject",250,29,"il1","AR010","P3"
"29#79#57_5","SeuratProject",359,18,"il1","AR010","P3"
"29#79#79_5","SeuratProject",1484,37,"il1","AR010","P3"
"29#84#33_5","SeuratProject",1223,30,"il1","AR010","P3"
"3#12#72_5","SeuratProject",759,26,"il1","AR010","P3"
"3#16#6_5","SeuratProject",303,28,"il1","AR010","P3"
"3#19#39_5","SeuratProject",412,28,"il1","AR010","P3"
"3#2#33_5","SeuratProject",1060,31,"il1","AR010","P3"
"3#22#13_5","SeuratProject",224,18,"il1","AR010","P3"
"3#23#26_5","SeuratProject",112,15,"il1","AR010","P3"
"3#27#1_5","SeuratProject",277,25,"il1","AR010","P3"
"3#31#8_5","SeuratProject",2852,34,"il1","AR010","P3"
"3#34#34_5","SeuratProject",71,19,"il1","AR010","P3"
"3#35#41_5","SeuratProject",289,26,"il1","AR010","P3"
"3#36#62_5","SeuratProject",562,26,"il1","AR010","P3"
"3#5#24_5","SeuratProject",784,30,"il1","AR010","P3"
"3#58#79_5","SeuratProject",405,29,"il1","AR010","P3"
"3#6#27_5","SeuratProject",138,20,"il1","AR010","P3"
"3#62#18_5","SeuratProject",627,31,"il1","AR010","P3"
"3#62#30_5","SeuratProject",657,32,"il1","AR010","P3"
"3#64#51_5","SeuratProject",143,16,"il1","AR010","P3"
"3#72#81_5","SeuratProject",1229,32,"il1","AR010","P3"
"3#73#69_5","SeuratProject",321,20,"il1","AR010","P3"
"3#77#4_5","SeuratProject",408,24,"il1","AR010","P3"
"3#78#78_5","SeuratProject",315,28,"il1","AR010","P3"
"3#80#19_5","SeuratProject",194,22,"il1","AR010","P3"
"3#81#15_5","SeuratProject",297,27,"il1","AR010","P3"
"3#84#26_5","SeuratProject",339,20,"il1","AR010","P3"
"30#15#6_5","SeuratProject",577,30,"il1","AR010","P3"
"30#18#9_5","SeuratProject",143,23,"il1","AR010","P3"
"30#23#21_5","SeuratProject",448,28,"il1","AR010","P3"
"30#27#25_5","SeuratProject",132,21,"il1","AR010","P3"
"30#33#25_5","SeuratProject",698,33,"il1","AR010","P3"
"30#44#88_5","SeuratProject",139,17,"il1","AR010","P3"
"30#5#26_5","SeuratProject",84,15,"il1","AR010","P3"
"30#51#1_5","SeuratProject",188,24,"il1","AR010","P3"
"30#59#74_5","SeuratProject",222,21,"il1","AR010","P3"
"30#67#14_5","SeuratProject",89,17,"il1","AR010","P3"
"30#76#33_5","SeuratProject",780,32,"il1","AR010","P3"
"30#79#27_5","SeuratProject",173,25,"il1","AR010","P3"
"30#8#7_5","SeuratProject",807,29,"il1","AR010","P3"
"30#95#77_5","SeuratProject",68,14,"il1","AR010","P3"
"31#1#44_5","SeuratProject",581,22,"il1","AR010","P3"
"31#14#2_5","SeuratProject",506,26,"il1","AR010","P3"
"31#28#9_5","SeuratProject",2067,32,"il1","AR010","P3"
"31#29#11_5","SeuratProject",469,27,"il1","AR010","P3"
"31#31#63_5","SeuratProject",340,19,"il1","AR010","P3"
"31#39#88_5","SeuratProject",203,28,"il1","AR010","P3"
"31#61#4_5","SeuratProject",332,24,"il1","AR010","P3"
"31#61#69_5","SeuratProject",851,30,"il1","AR010","P3"
"31#64#38_5","SeuratProject",418,27,"il1","AR010","P3"
"31#67#6_5","SeuratProject",472,29,"il1","AR010","P3"
"31#69#25_5","SeuratProject",600,30,"il1","AR010","P3"
"31#7#14_5","SeuratProject",2048,34,"il1","AR010","P3"
"31#79#2_5","SeuratProject",700,29,"il1","AR010","P3"
"31#83#72_5","SeuratProject",523,31,"il1","AR010","P3"
"32#12#22_5","SeuratProject",297,21,"il1","AR010","P3"
"32#12#70_5","SeuratProject",608,24,"il1","AR010","P3"
"32#13#55_5","SeuratProject",338,29,"il1","AR010","P3"
"32#14#15_5","SeuratProject",434,28,"il1","AR010","P3"
"32#19#2_5","SeuratProject",159,25,"il1","AR010","P3"
"32#24#40_5","SeuratProject",285,24,"il1","AR010","P3"
"32#3#83_5","SeuratProject",376,26,"il1","AR010","P3"
"32#33#28_5","SeuratProject",565,25,"il1","AR010","P3"
"32#34#4_5","SeuratProject",437,29,"il1","AR010","P3"
"32#4#54_5","SeuratProject",412,26,"il1","AR010","P3"
"32#40#51_5","SeuratProject",2985,34,"il1","AR010","P3"
"32#45#18_5","SeuratProject",357,26,"il1","AR010","P3"
"32#47#26_5","SeuratProject",174,23,"il1","AR010","P3"
"32#50#12_5","SeuratProject",209,22,"il1","AR010","P3"
"32#51#38_5","SeuratProject",390,24,"il1","AR010","P3"
"32#51#57_5","SeuratProject",146,19,"il1","AR010","P3"
"32#52#61_5","SeuratProject",171,20,"il1","AR010","P3"
"32#59#2_5","SeuratProject",459,27,"il1","AR010","P3"
"32#60#9_5","SeuratProject",285,24,"il1","AR010","P3"
"32#62#83_5","SeuratProject",678,31,"il1","AR010","P3"
"32#63#46_5","SeuratProject",135,14,"il1","AR010","P3"
"32#7#87_5","SeuratProject",250,25,"il1","AR010","P3"
"32#75#8_5","SeuratProject",302,26,"il1","AR010","P3"
"32#87#25_5","SeuratProject",1145,26,"il1","AR010","P3"
"33#11#6_5","SeuratProject",294,23,"il1","AR010","P3"
"33#21#47_5","SeuratProject",374,27,"il1","AR010","P3"
"33#21#56_5","SeuratProject",1459,30,"il1","AR010","P3"
"33#33#53_5","SeuratProject",166,20,"il1","AR010","P3"
"33#38#96_5","SeuratProject",131,19,"il1","AR010","P3"
"33#59#16_5","SeuratProject",500,32,"il1","AR010","P3"
"33#61#47_5","SeuratProject",293,16,"il1","AR010","P3"
"33#65#33_5","SeuratProject",428,28,"il1","AR010","P3"
"33#69#67_5","SeuratProject",424,26,"il1","AR010","P3"
"33#71#31_5","SeuratProject",337,20,"il1","AR010","P3"
"33#75#25_5","SeuratProject",451,25,"il1","AR010","P3"
"33#79#83_5","SeuratProject",159,21,"il1","AR010","P3"
"33#87#56_5","SeuratProject",770,35,"il1","AR010","P3"
"33#93#71_5","SeuratProject",1028,32,"il1","AR010","P3"
"34#13#66_5","SeuratProject",181,26,"il1","AR010","P3"
"34#32#29_5","SeuratProject",423,21,"il1","AR010","P3"
"34#37#35_5","SeuratProject",888,32,"il1","AR010","P3"
"34#44#36_5","SeuratProject",307,23,"il1","AR010","P3"
"34#44#68_5","SeuratProject",400,25,"il1","AR010","P3"
"34#5#53_5","SeuratProject",538,29,"il1","AR010","P3"
"34#53#78_5","SeuratProject",498,26,"il1","AR010","P3"
"34#6#27_5","SeuratProject",742,23,"il1","AR010","P3"
"34#6#34_5","SeuratProject",617,18,"il1","AR010","P3"
"34#64#16_5","SeuratProject",168,21,"il1","AR010","P3"
"34#79#54_5","SeuratProject",135,23,"il1","AR010","P3"
"34#80#42_5","SeuratProject",613,33,"il1","AR010","P3"
"34#81#82_5","SeuratProject",362,24,"il1","AR010","P3"
"34#93#38_5","SeuratProject",571,35,"il1","AR010","P3"
"34#95#37_5","SeuratProject",2030,34,"il1","AR010","P3"
"34#95#67_5","SeuratProject",2216,34,"il1","AR010","P3"
"35#16#19_5","SeuratProject",213,26,"il1","AR010","P3"
"35#2#37_5","SeuratProject",185,26,"il1","AR010","P3"
"35#24#48_5","SeuratProject",283,22,"il1","AR010","P3"
"35#33#72_5","SeuratProject",183,21,"il1","AR010","P3"
"35#47#57_5","SeuratProject",1785,35,"il1","AR010","P3"
"35#51#22_5","SeuratProject",255,25,"il1","AR010","P3"
"35#64#18_5","SeuratProject",758,26,"il1","AR010","P3"
"35#64#53_5","SeuratProject",820,28,"il1","AR010","P3"
"35#70#24_5","SeuratProject",151,22,"il1","AR010","P3"
"35#71#41_5","SeuratProject",503,24,"il1","AR010","P3"
"35#83#37_5","SeuratProject",332,23,"il1","AR010","P3"
"36#15#40_5","SeuratProject",1636,30,"il1","AR010","P3"
"36#22#44_5","SeuratProject",374,21,"il1","AR010","P3"
"36#23#1_5","SeuratProject",482,27,"il1","AR010","P3"
"36#3#15_5","SeuratProject",2374,36,"il1","AR010","P3"
"36#35#1_5","SeuratProject",1122,30,"il1","AR010","P3"
"36#37#13_5","SeuratProject",371,29,"il1","AR010","P3"
"36#37#66_5","SeuratProject",114,17,"il1","AR010","P3"
"36#42#1_5","SeuratProject",626,31,"il1","AR010","P3"
"36#47#3_5","SeuratProject",752,31,"il1","AR010","P3"
"36#48#5_5","SeuratProject",547,28,"il1","AR010","P3"
"36#58#27_5","SeuratProject",141,18,"il1","AR010","P3"
"36#70#36_5","SeuratProject",773,35,"il1","AR010","P3"
"36#75#55_5","SeuratProject",1417,40,"il1","AR010","P3"
"36#86#9_5","SeuratProject",1314,34,"il1","AR010","P3"
"36#94#12_5","SeuratProject",997,28,"il1","AR010","P3"
"37#10#96_5","SeuratProject",286,31,"il1","AR010","P3"
"37#11#76_5","SeuratProject",564,25,"il1","AR010","P3"
"37#16#33_5","SeuratProject",458,22,"il1","AR010","P3"
"37#21#15_5","SeuratProject",256,28,"il1","AR010","P3"
"37#24#42_5","SeuratProject",446,24,"il1","AR010","P3"
"37#26#5_5","SeuratProject",394,22,"il1","AR010","P3"
"37#27#20_5","SeuratProject",340,26,"il1","AR010","P3"
"37#38#77_5","SeuratProject",345,23,"il1","AR010","P3"
"37#39#20_5","SeuratProject",102,20,"il1","AR010","P3"
"37#42#39_5","SeuratProject",170,23,"il1","AR010","P3"
"37#53#60_5","SeuratProject",131,14,"il1","AR010","P3"
"37#53#90_5","SeuratProject",1377,29,"il1","AR010","P3"
"37#59#13_5","SeuratProject",443,23,"il1","AR010","P3"
"37#59#37_5","SeuratProject",421,26,"il1","AR010","P3"
"37#64#74_5","SeuratProject",366,25,"il1","AR010","P3"
"37#65#60_5","SeuratProject",684,33,"il1","AR010","P3"
"37#65#8_5","SeuratProject",393,26,"il1","AR010","P3"
"37#67#27_5","SeuratProject",324,23,"il1","AR010","P3"
"37#68#55_5","SeuratProject",124,20,"il1","AR010","P3"
"37#76#66_5","SeuratProject",268,25,"il1","AR010","P3"
"37#82#24_5","SeuratProject",703,31,"il1","AR010","P3"
"37#82#37_5","SeuratProject",772,27,"il1","AR010","P3"
"38#21#19_5","SeuratProject",213,25,"il1","AR010","P3"
"38#23#5_5","SeuratProject",243,22,"il1","AR010","P3"
"38#31#30_5","SeuratProject",3218,37,"il1","AR010","P3"
"38#39#83_5","SeuratProject",281,25,"il1","AR010","P3"
"38#40#58_5","SeuratProject",474,21,"il1","AR010","P3"
"38#5#1_5","SeuratProject",614,31,"il1","AR010","P3"
"38#50#33_5","SeuratProject",416,27,"il1","AR010","P3"
"38#56#45_5","SeuratProject",392,33,"il1","AR010","P3"
"38#6#5_5","SeuratProject",777,25,"il1","AR010","P3"
"38#68#61_5","SeuratProject",636,24,"il1","AR010","P3"
"38#70#33_5","SeuratProject",640,28,"il1","AR010","P3"
"38#74#12_5","SeuratProject",453,28,"il1","AR010","P3"
"38#78#82_5","SeuratProject",137,18,"il1","AR010","P3"
"38#90#69_5","SeuratProject",130,18,"il1","AR010","P3"
"39#1#58_5","SeuratProject",901,27,"il1","AR010","P3"
"39#13#14_5","SeuratProject",566,31,"il1","AR010","P3"
"39#19#80_5","SeuratProject",349,19,"il1","AR010","P3"
"39#2#78_5","SeuratProject",439,20,"il1","AR010","P3"
"39#20#21_5","SeuratProject",223,25,"il1","AR010","P3"
"39#23#51_5","SeuratProject",325,33,"il1","AR010","P3"
"39#26#83_5","SeuratProject",416,24,"il1","AR010","P3"
"39#28#66_5","SeuratProject",804,33,"il1","AR010","P3"
"39#3#5_5","SeuratProject",181,17,"il1","AR010","P3"
"39#30#28_5","SeuratProject",247,19,"il1","AR010","P3"
"39#4#34_5","SeuratProject",433,27,"il1","AR010","P3"
"39#41#9_5","SeuratProject",318,18,"il1","AR010","P3"
"39#42#73_5","SeuratProject",172,24,"il1","AR010","P3"
"39#49#11_5","SeuratProject",279,26,"il1","AR010","P3"
"39#49#14_5","SeuratProject",648,32,"il1","AR010","P3"
"39#53#15_5","SeuratProject",357,20,"il1","AR010","P3"
"39#67#80_5","SeuratProject",661,29,"il1","AR010","P3"
"39#68#55_5","SeuratProject",775,29,"il1","AR010","P3"
"39#79#18_5","SeuratProject",681,33,"il1","AR010","P3"
"39#80#4_5","SeuratProject",209,19,"il1","AR010","P3"
"39#82#90_5","SeuratProject",1106,31,"il1","AR010","P3"
"4#1#69_5","SeuratProject",2481,34,"il1","AR010","P3"
"4#10#34_5","SeuratProject",391,19,"il1","AR010","P3"
"4#14#44_5","SeuratProject",847,34,"il1","AR010","P3"
"4#15#18_5","SeuratProject",217,29,"il1","AR010","P3"
"4#20#21_5","SeuratProject",250,26,"il1","AR010","P3"
"4#22#75_5","SeuratProject",2594,31,"il1","AR010","P3"
"4#27#10_5","SeuratProject",244,20,"il1","AR010","P3"
"4#31#68_5","SeuratProject",819,33,"il1","AR010","P3"
"4#4#40_5","SeuratProject",181,27,"il1","AR010","P3"
"4#48#69_5","SeuratProject",396,28,"il1","AR010","P3"
"4#49#79_5","SeuratProject",159,22,"il1","AR010","P3"
"4#52#46_5","SeuratProject",234,26,"il1","AR010","P3"
"4#53#48_5","SeuratProject",297,14,"il1","AR010","P3"
"4#54#7_5","SeuratProject",353,29,"il1","AR010","P3"
"4#63#72_5","SeuratProject",284,21,"il1","AR010","P3"
"4#67#82_5","SeuratProject",133,21,"il1","AR010","P3"
"4#69#66_5","SeuratProject",215,20,"il1","AR010","P3"
"4#7#38_5","SeuratProject",375,31,"il1","AR010","P3"
"4#70#65_5","SeuratProject",240,22,"il1","AR010","P3"
"4#73#44_5","SeuratProject",4765,36,"il1","AR010","P3"
"4#8#44_5","SeuratProject",453,27,"il1","AR010","P3"
"4#93#32_5","SeuratProject",870,26,"il1","AR010","P3"
"40#17#72_5","SeuratProject",472,29,"il1","AR010","P3"
"40#26#44_5","SeuratProject",1028,32,"il1","AR010","P3"
"40#3#46_5","SeuratProject",721,30,"il1","AR010","P3"
"40#3#75_5","SeuratProject",187,22,"il1","AR010","P3"
"40#38#42_5","SeuratProject",905,33,"il1","AR010","P3"
"40#39#66_5","SeuratProject",287,27,"il1","AR010","P3"
"40#45#68_5","SeuratProject",590,27,"il1","AR010","P3"
"40#52#51_5","SeuratProject",576,29,"il1","AR010","P3"
"40#56#64_5","SeuratProject",179,25,"il1","AR010","P3"
"40#60#65_5","SeuratProject",1282,36,"il1","AR010","P3"
"40#62#14_5","SeuratProject",583,30,"il1","AR010","P3"
"40#63#40_5","SeuratProject",475,33,"il1","AR010","P3"
"40#66#20_5","SeuratProject",169,20,"il1","AR010","P3"
"40#7#60_5","SeuratProject",1130,28,"il1","AR010","P3"
"40#71#40_5","SeuratProject",1012,31,"il1","AR010","P3"
"40#78#13_5","SeuratProject",145,21,"il1","AR010","P3"
"40#78#51_5","SeuratProject",1206,36,"il1","AR010","P3"
"40#84#39_5","SeuratProject",668,31,"il1","AR010","P3"
"40#85#39_5","SeuratProject",264,24,"il1","AR010","P3"
"41#16#5_5","SeuratProject",446,21,"il1","AR010","P3"
"41#16#74_5","SeuratProject",1867,37,"il1","AR010","P3"
"41#20#65_5","SeuratProject",383,21,"il1","AR010","P3"
"41#20#8_5","SeuratProject",479,27,"il1","AR010","P3"
