"","orig.ident","nCount_RNA","nFeature_RNA","STIM","SAMP","PND"
"2#53#31_1","SeuratProject",663,25,"pbs","AR019","P5"
"2#65#65_1","SeuratProject",647,31,"pbs","AR019","P5"
"2#9#5_1","SeuratProject",270,21,"pbs","AR019","P5"
"2#96#65_1","SeuratProject",240,24,"pbs","AR019","P5"
"20#13#3_1","SeuratProject",1224,32,"pbs","AR019","P5"
"20#13#62_1","SeuratProject",383,26,"pbs","AR019","P5"
"20#16#46_1","SeuratProject",243,12,"pbs","AR019","P5"
"20#45#3_1","SeuratProject",166,19,"pbs","AR019","P5"
"20#51#66_1","SeuratProject",655,25,"pbs","AR019","P5"
"20#67#96_1","SeuratProject",1116,29,"pbs","AR019","P5"
"20#8#57_1","SeuratProject",146,20,"pbs","AR019","P5"
"20#89#50_1","SeuratProject",334,17,"pbs","AR019","P5"
"21#10#57_1","SeuratProject",92,12,"pbs","AR019","P5"
"21#19#51_1","SeuratProject",439,22,"pbs","AR019","P5"
"21#33#15_1","SeuratProject",605,25,"pbs","AR019","P5"
"21#35#20_1","SeuratProject",260,27,"pbs","AR019","P5"
"21#38#32_1","SeuratProject",248,29,"pbs","AR019","P5"
"21#54#35_1","SeuratProject",154,16,"pbs","AR019","P5"
"21#70#38_1","SeuratProject",556,27,"pbs","AR019","P5"
"21#79#63_1","SeuratProject",516,25,"pbs","AR019","P5"
"21#85#56_1","SeuratProject",119,21,"pbs","AR019","P5"
"22#42#17_1","SeuratProject",1212,35,"pbs","AR019","P5"
"22#48#13_1","SeuratProject",165,27,"pbs","AR019","P5"
"22#49#78_1","SeuratProject",680,28,"pbs","AR019","P5"
"22#54#89_1","SeuratProject",288,23,"pbs","AR019","P5"
"22#65#13_1","SeuratProject",2727,39,"pbs","AR019","P5"
"23#32#33_1","SeuratProject",473,28,"pbs","AR019","P5"
"23#4#69_1","SeuratProject",1339,30,"pbs","AR019","P5"
"23#46#93_1","SeuratProject",261,23,"pbs","AR019","P5"
"23#85#5_1","SeuratProject",766,25,"pbs","AR019","P5"
"23#89#55_1","SeuratProject",129,18,"pbs","AR019","P5"
"24#13#34_1","SeuratProject",50,16,"pbs","AR019","P5"
"24#22#62_1","SeuratProject",213,25,"pbs","AR019","P5"
"24#28#48_1","SeuratProject",114,15,"pbs","AR019","P5"
"24#35#26_1","SeuratProject",58,12,"pbs","AR019","P5"
"24#43#53_1","SeuratProject",203,27,"pbs","AR019","P5"
"24#79#39_1","SeuratProject",586,30,"pbs","AR019","P5"
"24#95#58_1","SeuratProject",505,26,"pbs","AR019","P5"
"25#1#5_1","SeuratProject",158,18,"pbs","AR019","P5"
"25#14#45_1","SeuratProject",392,27,"pbs","AR019","P5"
"25#18#10_1","SeuratProject",261,23,"pbs","AR019","P5"
"25#21#64_1","SeuratProject",977,32,"pbs","AR019","P5"
"25#25#27_1","SeuratProject",411,27,"pbs","AR019","P5"
"25#3#82_1","SeuratProject",449,26,"pbs","AR019","P5"
"25#40#63_1","SeuratProject",882,37,"pbs","AR019","P5"
"25#42#39_1","SeuratProject",97,21,"pbs","AR019","P5"
"25#53#10_1","SeuratProject",231,22,"pbs","AR019","P5"
"25#6#37_1","SeuratProject",229,22,"pbs","AR019","P5"
"25#71#17_1","SeuratProject",221,27,"pbs","AR019","P5"
"25#77#94_1","SeuratProject",255,23,"pbs","AR019","P5"
"25#80#42_1","SeuratProject",120,22,"pbs","AR019","P5"
"25#87#33_1","SeuratProject",278,19,"pbs","AR019","P5"
"26#1#3_1","SeuratProject",315,25,"pbs","AR019","P5"
"26#22#1_1","SeuratProject",143,23,"pbs","AR019","P5"
"26#33#12_1","SeuratProject",756,27,"pbs","AR019","P5"
"26#39#31_1","SeuratProject",1020,31,"pbs","AR019","P5"
"26#43#68_1","SeuratProject",1458,31,"pbs","AR019","P5"
"26#63#13_1","SeuratProject",449,30,"pbs","AR019","P5"
"26#8#33_1","SeuratProject",723,32,"pbs","AR019","P5"
"26#87#89_1","SeuratProject",92,20,"pbs","AR019","P5"
"26#90#36_1","SeuratProject",80,14,"pbs","AR019","P5"
"27#1#48_1","SeuratProject",581,26,"pbs","AR019","P5"
"27#1#74_1","SeuratProject",140,20,"pbs","AR019","P5"
"27#14#64_1","SeuratProject",888,32,"pbs","AR019","P5"
"27#15#50_1","SeuratProject",552,22,"pbs","AR019","P5"
"27#33#57_1","SeuratProject",181,22,"pbs","AR019","P5"
"27#36#16_1","SeuratProject",817,30,"pbs","AR019","P5"
"27#41#10_1","SeuratProject",1297,32,"pbs","AR019","P5"
"27#47#40_1","SeuratProject",527,28,"pbs","AR019","P5"
"27#59#78_1","SeuratProject",1174,32,"pbs","AR019","P5"
"27#67#14_1","SeuratProject",879,26,"pbs","AR019","P5"
"27#68#40_1","SeuratProject",714,25,"pbs","AR019","P5"
"27#78#23_1","SeuratProject",285,24,"pbs","AR019","P5"
"28#14#73_1","SeuratProject",1812,36,"pbs","AR019","P5"
"28#18#2_1","SeuratProject",332,27,"pbs","AR019","P5"
"28#31#52_1","SeuratProject",124,25,"pbs","AR019","P5"
"28#33#2_1","SeuratProject",889,29,"pbs","AR019","P5"
"28#6#18_1","SeuratProject",871,35,"pbs","AR019","P5"
"28#68#30_1","SeuratProject",680,28,"pbs","AR019","P5"
"28#68#81_1","SeuratProject",738,25,"pbs","AR019","P5"
"28#69#4_1","SeuratProject",959,29,"pbs","AR019","P5"
"28#93#49_1","SeuratProject",1046,31,"pbs","AR019","P5"
"29#10#51_1","SeuratProject",459,29,"pbs","AR019","P5"
"29#15#51_1","SeuratProject",364,22,"pbs","AR019","P5"
"29#27#7_1","SeuratProject",510,25,"pbs","AR019","P5"
"29#32#36_1","SeuratProject",714,26,"pbs","AR019","P5"
"29#40#64_1","SeuratProject",239,24,"pbs","AR019","P5"
"29#43#39_1","SeuratProject",514,21,"pbs","AR019","P5"
"29#5#47_1","SeuratProject",279,20,"pbs","AR019","P5"
"29#6#14_1","SeuratProject",367,23,"pbs","AR019","P5"
"3#11#40_1","SeuratProject",177,25,"pbs","AR019","P5"
"3#17#53_1","SeuratProject",1313,33,"pbs","AR019","P5"
"3#21#32_1","SeuratProject",550,28,"pbs","AR019","P5"
"3#22#25_1","SeuratProject",1611,33,"pbs","AR019","P5"
"3#25#73_1","SeuratProject",453,32,"pbs","AR019","P5"
"3#30#75_1","SeuratProject",301,27,"pbs","AR019","P5"
"3#46#60_1","SeuratProject",1182,32,"pbs","AR019","P5"
"3#6#71_1","SeuratProject",167,20,"pbs","AR019","P5"
"3#80#51_1","SeuratProject",377,29,"pbs","AR019","P5"
"3#85#57_1","SeuratProject",627,27,"pbs","AR019","P5"
"3#86#85_1","SeuratProject",1575,31,"pbs","AR019","P5"
"30#2#37_1","SeuratProject",75,14,"pbs","AR019","P5"
"30#25#51_1","SeuratProject",178,24,"pbs","AR019","P5"
"30#26#21_1","SeuratProject",150,19,"pbs","AR019","P5"
"30#39#54_1","SeuratProject",348,23,"pbs","AR019","P5"
"30#4#3_1","SeuratProject",919,31,"pbs","AR019","P5"
"30#4#76_1","SeuratProject",769,30,"pbs","AR019","P5"
"30#41#46_1","SeuratProject",882,29,"pbs","AR019","P5"
"30#41#49_1","SeuratProject",304,15,"pbs","AR019","P5"
"30#44#81_1","SeuratProject",159,23,"pbs","AR019","P5"
"30#54#52_1","SeuratProject",333,24,"pbs","AR019","P5"
"30#71#65_1","SeuratProject",91,15,"pbs","AR019","P5"
"30#84#18_1","SeuratProject",647,26,"pbs","AR019","P5"
"31#13#55_1","SeuratProject",145,28,"pbs","AR019","P5"
"31#21#17_1","SeuratProject",162,23,"pbs","AR019","P5"
"31#44#2_1","SeuratProject",147,19,"pbs","AR019","P5"
"31#7#10_1","SeuratProject",701,34,"pbs","AR019","P5"
"31#8#49_1","SeuratProject",1885,34,"pbs","AR019","P5"
"32#25#3_1","SeuratProject",352,21,"pbs","AR019","P5"
"32#28#18_1","SeuratProject",1844,35,"pbs","AR019","P5"
"32#29#94_1","SeuratProject",458,31,"pbs","AR019","P5"
"32#54#11_1","SeuratProject",255,17,"pbs","AR019","P5"
"32#54#18_1","SeuratProject",272,24,"pbs","AR019","P5"
"32#55#80_1","SeuratProject",187,18,"pbs","AR019","P5"
"32#61#73_1","SeuratProject",81,17,"pbs","AR019","P5"
"32#63#54_1","SeuratProject",1347,34,"pbs","AR019","P5"
"32#66#13_1","SeuratProject",179,19,"pbs","AR019","P5"
"32#76#22_1","SeuratProject",554,29,"pbs","AR019","P5"
"32#81#22_1","SeuratProject",308,22,"pbs","AR019","P5"
"32#85#41_1","SeuratProject",354,23,"pbs","AR019","P5"
"33#17#25_1","SeuratProject",588,31,"pbs","AR019","P5"
"33#60#17_1","SeuratProject",77,15,"pbs","AR019","P5"
"33#61#59_1","SeuratProject",1217,31,"pbs","AR019","P5"
"33#75#5_1","SeuratProject",1184,33,"pbs","AR019","P5"
"33#86#83_1","SeuratProject",233,24,"pbs","AR019","P5"
"34#1#14_1","SeuratProject",820,26,"pbs","AR019","P5"
"34#1#72_1","SeuratProject",225,27,"pbs","AR019","P5"
"34#27#66_1","SeuratProject",652,27,"pbs","AR019","P5"
"34#40#54_1","SeuratProject",782,24,"pbs","AR019","P5"
"34#45#22_1","SeuratProject",1008,35,"pbs","AR019","P5"
"34#46#37_1","SeuratProject",492,29,"pbs","AR019","P5"
"34#54#33_1","SeuratProject",1197,29,"pbs","AR019","P5"
"34#63#79_1","SeuratProject",202,18,"pbs","AR019","P5"
"34#8#18_1","SeuratProject",324,23,"pbs","AR019","P5"
"34#88#29_1","SeuratProject",1049,29,"pbs","AR019","P5"
"34#89#45_1","SeuratProject",186,18,"pbs","AR019","P5"
"34#95#58_1","SeuratProject",277,27,"pbs","AR019","P5"
"35#29#27_1","SeuratProject",725,27,"pbs","AR019","P5"
"35#3#36_1","SeuratProject",1774,35,"pbs","AR019","P5"
"35#36#7_1","SeuratProject",159,21,"pbs","AR019","P5"
"35#4#40_1","SeuratProject",749,29,"pbs","AR019","P5"
"35#42#18_1","SeuratProject",531,26,"pbs","AR019","P5"
"35#43#26_1","SeuratProject",207,18,"pbs","AR019","P5"
"35#57#42_1","SeuratProject",124,23,"pbs","AR019","P5"
"35#81#58_1","SeuratProject",83,14,"pbs","AR019","P5"
"36#11#21_1","SeuratProject",153,20,"pbs","AR019","P5"
"36#14#18_1","SeuratProject",997,31,"pbs","AR019","P5"
"36#18#8_1","SeuratProject",314,27,"pbs","AR019","P5"
"36#40#63_1","SeuratProject",176,22,"pbs","AR019","P5"
"36#42#94_1","SeuratProject",1080,32,"pbs","AR019","P5"
"36#59#80_1","SeuratProject",56,13,"pbs","AR019","P5"
"36#7#67_1","SeuratProject",606,30,"pbs","AR019","P5"
"36#76#25_1","SeuratProject",94,22,"pbs","AR019","P5"
"36#87#71_1","SeuratProject",256,24,"pbs","AR019","P5"
"37#18#6_1","SeuratProject",148,17,"pbs","AR019","P5"
"37#27#8_1","SeuratProject",779,27,"pbs","AR019","P5"
"37#32#61_1","SeuratProject",150,22,"pbs","AR019","P5"
"37#33#34_1","SeuratProject",240,22,"pbs","AR019","P5"
"37#39#1_1","SeuratProject",270,26,"pbs","AR019","P5"
"37#43#53_1","SeuratProject",147,18,"pbs","AR019","P5"
"37#62#21_1","SeuratProject",1344,30,"pbs","AR019","P5"
"37#65#23_1","SeuratProject",89,22,"pbs","AR019","P5"
"37#70#73_1","SeuratProject",236,19,"pbs","AR019","P5"
"37#74#86_1","SeuratProject",102,14,"pbs","AR019","P5"
